Version,Date,LinesOfCode
v4.0.44,2025-10-10T18:07:59+02:00,9037
v4.0.45,2025-10-10T22:48:00+02:00,9039
v4.0.46,2025-10-10T23:14:28+02:00,9040
v4.0.47,2025-10-10T23:58:22+02:00,9039
v4.0.48,2025-10-11T13:40:08+02:00,9045
v4.0.49,2025-10-11T15:33:48+02:00,9044
v4.0.50,2025-10-11T23:45:57+02:00,9044
v4.0.51,2025-10-13T18:45:01+02:00,9087
v4.0.52,2025-10-13T20:59:03+02:00,9042
v4.0.53,2025-10-13T23:05:28+02:00,9040
v4.0.54,2025-10-14T20:03:42+02:00,9040
v4.0.55,2025-10-14T20:30:21+02:00,9041
v4.0.56,2025-10-14T21:48:30+02:00,9045
v4.0.57,2025-10-14T22:08:23+02:00,9044
v4.0.58,2025-10-15T23:45:58+02:00,9058
v4.0.59,2025-10-16T01:50:27+02:00,9057
v4.0.60,2025-10-16T17:43:44+02:00,9057
v4.0.61,2025-10-16T17:55:53+02:00,9057
v4.0.62,2025-10-25T21:28:34+02:00,9113
v4.0.63,2025-10-26T00:41:18+02:00,9113
v4.0.64,2025-10-31T13:03:10+01:00,9124
v4.0.65,2025-10-31T13:52:29+01:00,9124
v4.0.66,2025-10-31T15:12:37+01:00,9154
v4.0.67,2025-10-31T22:27:13+01:00,9163
v4.0.68,2025-11-04T20:45:38+01:00,9163
v4.0.69,2025-11-09T13:45:14+01:00,9187
v4.0.70,2025-11-11T02:05:12+01:00,9245
v4.0.71,2025-11-11T19:42:38+01:00,9399
v4.0.72,2025-11-11T20:57:34+01:00,9396
v4.0.73,2025-11-11T22:14:50+01:00,9397
v4.0.74,2025-11-11T22:47:45+01:00,9397
v4.0.75,2025-11-11T23:18:00+01:00,9397
v4.0.76,2025-11-11T23:43:14+01:00,9397
v4.0.77,2025-11-12T08:08:05+01:00,9397
v4.0.78,2025-11-13T08:05:00+01:00,9423
v4.0.79,2025-11-17T23:41:18+01:00,9418
v4.0.80,2025-11-23T13:10:32+01:00,9425
v4.0.81,2025-11-25T22:41:42+01:00,9425
v4.0.82,2025-12-05T17:38:52+01:00,9426
v4.0.83,2025-12-05T17:55:40+01:00,9427
v4.0.84,2025-12-06T13:09:17+01:00,9427
v4.0.85,2025-12-06T13:33:01+01:00,9427
v4.0.86,2025-12-06T14:12:17+01:00,9435
v4.0.87,2025-12-06T14:28:43+01:00,9436
v4.0.88,2025-12-14T13:06:03+01:00,9436
v4.0.89,2025-12-14T14:44:26+01:00,9434
v4.0.90,2025-12-16T09:21:01+01:00,9436
v4.0.91,2025-12-16T10:07:42+01:00,9704
v4.0.92,2025-12-18T16:45:07+01:00,9711
